Frame,Id,Centroid_x,Centroid_y,Area,Eccentricity
1,32.0,589.0,218.0,1266.0,0.8710175029966432
2,34.0,590.0,218.0,1264.0,0.8820226004591262
3,31.0,590.0,218.0,1266.0,0.8832642133700005
4,31.0,589.0,218.0,1254.0,0.8717655306781852
5,32.0,590.0,218.0,1263.0,0.8820865426663834
6,33.0,589.0,218.0,1279.0,0.8810469330652418
7,34.0,589.0,218.0,1263.0,0.8712592547166254
8,24.0,589.0,218.0,1254.0,0.8698932841215595
9,35.0,590.0,218.0,1276.0,0.8839389727277579
10,26.0,589.0,218.0,1256.0,0.8701168485637875
11,32.0,589.0,218.0,1264.0,0.8696694662190187
12,30.0,590.0,218.0,1270.0,0.8816889030752866
13,24.0,589.0,218.0,1258.0,0.8685022393305285
14,23.0,590.0,218.0,1281.0,0.8797541872073589
15,25.0,593.0,216.0,1738.0,0.7920324135511344
16,28.0,596.0,215.0,1786.0,0.7683312158700898
17,32.0,590.0,218.0,1260.0,0.8819929995808243
18,25.0,595.0,216.0,1764.0,0.7930163436084433
19,26.0,598.0,215.0,1932.0,0.7503063632612349
20,30.0,590.0,218.0,1269.0,0.8800119938240636
21,29.0,590.0,218.0,1271.0,0.8786617372650625
22,33.0,590.0,218.0,1268.0,0.8814388210237634
23,27.0,590.0,218.0,1257.0,0.881141003271984
24,24.0,589.0,218.0,1282.0,0.8788918516063949
25,35.0,590.0,218.0,1267.0,0.8803619443130248
26,32.0,590.0,218.0,1269.0,0.8817568831485567
27,30.0,590.0,218.0,1272.0,0.8796910041083773
28,32.0,593.0,217.0,1696.0,0.7938127474197315
29,27.0,594.0,217.0,1741.0,0.7996309717417062
30,27.0,590.0,218.0,1262.0,0.8801795425973812
31,27.0,590.0,218.0,1266.0,0.8797502749365892
32,24.0,593.0,217.0,1717.0,0.7874045551776978
33,28.0,594.0,217.0,1739.0,0.7906911785029501
34,27.0,594.0,217.0,1747.0,0.7890631136903178
35,41.0,592.0,216.0,1726.0,0.7768694414617532
36,35.0,590.0,218.0,1260.0,0.8834071738013249
37,29.0,590.0,218.0,1262.0,0.881442670433609
38,25.0,591.0,218.0,1767.0,0.7200542919600154
39,31.0,592.0,219.0,1712.0,0.7611624341411672
40,32.0,592.0,216.0,1717.0,0.7857196830068728
41,29.0,591.0,215.0,1914.0,0.7593761034045338
42,31.0,592.0,218.0,1724.0,0.7441551835518083
43,26.0,591.0,219.0,1741.0,0.7396386964428351
44,30.0,592.0,219.0,1751.0,0.765857391677531
45,25.0,591.0,214.0,1901.0,0.7598808166837536
46,27.0,589.0,213.0,1990.0,0.8521089240720119
47,25.0,592.0,218.0,1732.0,0.7527216091303125
48,23.0,591.0,216.0,1770.0,0.8195761847444298
49,26.0,588.0,214.0,1938.0,0.8850234246534118
